Region;Regions-ID;KV;Kreistyp;Wert;Bundeswert;;Inzidenz in Prozent;Anzahl;;Inzidenz;
Gera, Kreisfreie Stadt;16052;TH;Kernstädte;77,78;80,18;;1,01;1;;0,0101;
Wuppertal, Kreisfreie Stadt;5124;NO;Kernstädte;77,67;80,18;;1,41;5;;0,0141;
Bamberg, Kreis;9471;BY;Verdichtetes Umland;77,67;80,18;;;;;;
Schwarzwald-Baar-Kreis;8326;BW;Verdichtetes Umland;77,63;80,18;;;;;;
Uecker-Randow, Kreis;13062;MV;Ländlicher Raum;77,57;80,18;;;;;;
Lüchow-Dannenberg, Kreis;3354;NI;Ländlicher Raum;77,46;80,18;;6,02;3;;0,0602;
Rendsburg-Eckernförde, Kreis;1058;SH;Verdichtetes Umland;77,38;80,18;;0,74;2;;0,0074;
Trier-Saarburg, Kreis;7235;RP;Ländliches Umland;77,34;80,18;;1,39;2;;0,0139;
Bad Kreuznach, Kreis;7133;RP;Verdichtetes Umland;77,27;80,18;;1,27;2;;0,0127;
Ostalbkreis;8136;BW;Verdichtetes Umland;77,27;80,18;;;;;;
Cuxhaven, Kreis;3352;NI;Ländliches Umland;77,08;80,18;;0,5;1;;0,005;
Gotha, Kreis;16067;TH;Verdichtetes Umland;77,08;80,18;;2,87;4;;0,0287;
Soltau-Fallingbostel, Kreis;3358;NI;Ländlicher Raum;76,95;80,18;;;;;;
Schwäbisch Hall, Kreis;8127;BW;Ländliches Umland;76,89;80,18;;5,26;10;;0,0526;
Neu-Ulm, Kreis;9775;BY;Verdichtetes Umland;76,82;80,18;;1,2;2;;0,012;
Greiz, Kreis;16076;TH;Ländliches Umland;76,75;80,18;;3,7;4;;0,037;
Passau, Kreisfreie Stadt;9262;BY;Ländlicher Raum;76,62;80,18;;5,9;3;;0,059;
Südliche Weinstraße, Kreis;7337;RP;Verdichtetes Umland;76,54;80,18;;0,91;1;;0,0091;
Bodenseekreis;8435;BW;Verdichtetes Umland;76,5;80,18;;;;;;
Gifhorn, Kreis;3151;NI;Ländliches Umland;76,45;80,18;;;;;;
Friesland, Kreis;3455;NI;Verdichtetes Umland;76,26;80,18;;1;1;;0,01;
Rottweil, Kreis;8325;BW;Verdichtetes Umland;76,23;80,18;;2,15;3;;0,0215;
Neuwied, Kreis;7138;RP;Verdichtetes Umland;76,15;80,18;;0,55;1;;0,0055;
Tirschenreuth, Kreis;9377;BY;Ländlicher Raum;76,15;80,18;;3,99;3;;0,0399;
Mainz, Kreisfreie Stadt;7315;RP;Kernstädte;76,06;80,18;;3,47;7;;0,0347;
Kusel, Kreis;7336;RP;Ländliches Umland;76,06;80,18;;1,36;1;;0,0136;
Köln, Kreisfreie Stadt;5315;NO;Kernstädte;76,01;80,18;;2,25;23;;0,0225;
Ansbach, Kreis;9571;BY;Ländlicher Raum;75,81;80,18;;3,29;6;;0,0329;
Heidenheim, Kreis;8135;BW;Verdichtetes Umland;75,79;80,18;;0,75;1;;0,0075;
Aichach-Friedberg, Kreis;9771;BY;Verdichtetes Umland;75,7;80,18;;3,1;4;;0,031;
Oberhavel, Kreis;12065;BB;Ländliches Umland;75,66;80,18;;4,91;10;;0,0491;
Bayreuth, Kreis;9472;BY;Ländlicher Raum;75,61;80,18;;1,88;2;;0,0188;
Potsdam, Kreisfreie Stadt;12054;BB;Kernstädte;75,43;80,18;;;;;;
Coburg, Kreis;9473;BY;Verdichtetes Umland;75,2;80,18;;;;;;
Altötting, Kreis;9171;BY;Ländlicher Raum;75,14;80,18;;1,84;2;;0,0184;
Coburg, Kreisfreie Stadt;9463;BY;Verdichtetes Umland;75,11;80,18;;;;;;
Nienburg (Weser), Kreis;3256;NI;Ländliches Umland;75,07;80,18;;1,63;2;;0,0163;
Gießen, Kreis;6531;HE;Verdichtetes Umland;74,91;80,18;;1,16;3;;0,0116;
Saalfeld-Rudolstadt, Kreis;16073;TH;Ländliches Umland;74,89;80,18;;0,86;1;;0,0086;
Frankenthal (Pfalz), Kreisfreie Stadt;7311;RP;Verdichtetes Umland;74,83;80,18;;;;;;
Northeim, Kreis;3155;NI;Ländliches Umland;74,72;80,18;;1,43;2;;0,0143;
Schmalkalden-Meiningen, Kreis;16066;TH;Ländlicher Raum;74,69;80,18;;1,53;2;;0,0153;
Euskirchen, Kreis;5366;NO;Verdichtetes Umland;74,63;80,18;;1,57;3;;0,0157;
Aachen, Kreisfreie Stadt;5313;NO;Kernstädte;74,47;80,18;;;;;;
Aachen, Kreis;5354;NO;Verdichtetes Umland;74,47;80,18;;2,15;12;;0,0215;
Goslar, Kreis;3153;NI;Verdichtetes Umland;74,41;80,18;;1,39;2;;0,0139;
Rhein-Sieg-Kreis;5382;NO;Verdichtetes Umland;74,37;80,18;;;;;;
Höxter, Kreis;5762;WL;Ländliches Umland;74,3;80,18;;;;;;
Lichtenfels, Kreis;9478;BY;Ländliches Umland;74,22;80,18;;;;;;
Freising, Kreis;9178;BY;Verdichtetes Umland;74,18;80,18;;1,19;2;;0,0119;
Eichstätt, Kreis;9176;BY;Ländliches Umland;74,13;80,18;;3,96;5;;0,0396;
Bonn, Kreisfreie Stadt;5314;NO;Kernstädte;73,99;80,18;;2,52;8;;0,0252;
Kempten (Allgäu), Kreisfreie Stadt;9763;BY;Ländlicher Raum;73,89;80,18;;;;;;
Nordfriesland, Kreis;1054;SH;Ländlicher Raum;73,82;80,18;;1,82;3;;0,0182;
Weißenburg-Gunzenhausen, Kreis;9577;BY;Ländlicher Raum;73,76;80,18;;5,33;5;;0,0533;
Neuburg-Schrobenhausen, Kreis;9185;BY;Ländliches Umland;73,58;80,18;;4,31;4;;0,0431;
Rhön-Grabfeld, Kreis;9673;BY;Ländlicher Raum;73,57;80,18;;;;;;
Rügen, Kreis;13061;MV;Ländlicher Raum;73,4;80,18;;;;;;
Lindau (Bodensee), Kreis;9776;BY;Ländlicher Raum;73,28;80,18;;;;;;
Bamberg, Kreisfreie Stadt;9461;BY;Verdichtetes Umland;72,8;80,18;;;;;;
Märkisch-Oderland, Kreis;12064;BB;Ländliches Umland;72,78;80,18;;1,05;2;;0,0105;
Duisburg, Kreisfreie Stadt;5112;NO;Kernstädte;72,22;80,18;;2,82;14;;0,0282;
Wittmund, Kreis;3462;NI;Ländliches Umland;72,13;80,18;;1,75;1;;0,0175;
Schaumburg, Kreis;3257;NI;Verdichtetes Umland;71,78;80,18;;1,24;2;;0,0124;
Lüneburg, Kreis;3355;NI;Ländlicher Raum;71,75;80,18;;;;;;
Merzig-Wadern, Kreis;10042;SL;Verdichtetes Umland;71,73;80,18;;4,77;5;;0,0477;
Odenwaldkreis;6437;HE;Verdichtetes Umland;71,59;80,18;;;;;;
Ennepe-Ruhr-Kreis;5954;WL;Verdichtetes Umland;70,79;80,18;;;;;;
Wartburgkreis;16063;TH;Ländlicher Raum;70,64;80,18;;;;;;
Hochsauerlandkreis;5958;WL;Ländliches Umland;70,51;80,18;;;;;;
Konstanz, Kreis;8335;BW;Verdichtetes Umland;70,16;80,18;;2,52;7;;0,0252;
Leer, Kreis;3457;NI;Verdichtetes Umland;69,96;80,18;;1,2;2;;0,012;
Deggendorf, Kreis;9271;BY;Ländlicher Raum;69,77;80,18;;1,71;2;;0,0171;
Donnersbergkreis;7333;RP;Ländliches Umland;69,72;80,18;;;;;;
Rosenheim, Kreisfreie Stadt;9163;BY;Ländlicher Raum;69,63;80,18;;3,27;2;;0,0327;
Oberallgäu, Kreis;9780;BY;Ländlicher Raum;69,55;80,18;;4,63;7;;0,0463;
Amberg-Sulzbach, Kreis;9371;BY;Ländlicher Raum;69,31;80,18;;1,9;2;;0,019;
Vulkaneifel, Kreis;7233;RP;Ländliches Umland;69,06;80,18;;1,61;1;;0,0161;
Kulmbach, Kreis;9477;BY;Ländlicher Raum;68,83;80,18;;1,34;1;;0,0134;
Ravensburg, Kreis;8436;BW;Verdichtetes Umland;68,45;80,18;;2,16;6;;0,0216;
Calw, Kreis;8235;BW;Verdichtetes Umland;68,24;80,18;;2,54;4;;0,0254;
Passau, Kreis;9275;BY;Ländlicher Raum;67,96;80,18;;0,53;1;;0,0053;
Düren, Kreis;5358;NO;Verdichtetes Umland;67,73;80,18;;1,13;3;;0,0113;
Kaufbeuren, Kreisfreie Stadt;9762;BY;Ländlicher Raum;67,71;80,18;;4,71;2;;0,0471;
Altmarkkreis Salzwedel;15081;ST;Ländlicher Raum;67,69;80,18;;;;;;
Bad Kissingen, Kreis;9672;BY;Ländlicher Raum;67,46;80,18;;0,95;1;;0,0095;
Donau-Ries, Kreis;9779;BY;Ländliches Umland;66,86;80,18;;2,29;3;;0,0229;
Freyung-Grafenau, Kreis;9272;BY;Ländlicher Raum;66,82;80,18;;1,26;1;;0,0126;
Landau in der Pfalz, Kreisfreie Stadt;7313;RP;Verdichtetes Umland;66,54;80,18;;;;;;
Memmingen, Kreisfreie Stadt;9764;BY;Ländliches Umland;66,14;80,18;;4,77;2;;0,0477;
Ebersberg, Kreis;9175;BY;Verdichtetes Umland;65,6;80,18;;6,11;8;;0,0611;
Verden, Kreis;3361;NI;Verdichtetes Umland;65,34;80,18;;2,98;4;;0,0298;
Ortenaukreis;8317;BW;Verdichtetes Umland;65,22;80,18;;;;;;
Halle (Saale), Kreisfreie Stadt;15002;ST;Kernstädte;64,94;80,18;;;;;;
Kelheim, Kreis;9273;BY;Ländliches Umland;64,35;80,18;;3,46;4;;0,0346;
Breisgau-Hochschwarzwald, Kreis;8315;BW;Verdichtetes Umland;63,96;80,18;;2,77;7;;0,0277;
Oberbergischer Kreis;5374;NO;Verdichtetes Umland;63,06;80,18;;;;;;
Mülheim an der Ruhr, Kreisfreie Stadt;5117;NO;Kernstädte;62,97;80,18;;;;;;
Freiburg im Breisgau, Kreisfreie Stadt;8311;BW;Kernstädte;62,91;80,18;;;;;;
Landsberg am Lech, Kreis;9181;BY;Ländliches Umland;62,85;80,18;;;;;;
Krefeld, Kreisfreie Stadt;5114;NO;Kernstädte;62,79;80,18;;3,02;7;;0,0302;
Landshut, Kreis;9274;BY;Ländlicher Raum;61,6;80,18;;;;;;
Starnberg, Kreis;9188;BY;Verdichtetes Umland;61,56;80,18;;2,29;3;;0,0229;
Viersen, Kreis;5166;NO;Verdichtetes Umland;61,11;80,18;;2,33;7;;0,0233;
Dingolfing-Landau, Kreis;9279;BY;Ländlicher Raum;60,75;80,18;;1,08;1;;0,0108;
Neustadt an der Weinstraße, Kreisfreie Stadt;7316;RP;Verdichtetes Umland;60,67;80,18;;;;;;
Erding, Kreis;9177;BY;Ländliches Umland;60,45;80,18;;1,56;2;;0,0156;
Pfaffenhofen a.d.Ilm, Kreis;9186;BY;Verdichtetes Umland;59,55;80,18;;2,51;3;;0,0251;
Berchtesgadener Land, Kreis;9172;BY;Ländlicher Raum;59,42;80,18;;4,85;5;;0,0485;
Landshut, Kreisfreie Stadt;9261;BY;Ländlicher Raum;59,36;80,18;;4,59;3;;0,0459;
Weilheim-Schongau, Kreis;9190;BY;Ländlicher Raum;58,12;80,18;;0,76;1;;0,0076;
Bad Dürkheim, Kreis;7332;RP;Verdichtetes Umland;57,08;80,18;;3;4;;0,03;
Mühldorf a.Inn, Kreis;9183;BY;Ländlicher Raum;56,58;80,18;;2,69;3;;0,0269;
Unterallgäu, Kreis;9778;BY;Ländliches Umland;55,79;80,18;;0,72;1;;0,0072;
Miesbach, Kreis;9182;BY;Ländlicher Raum;55,06;80,18;;2,08;2;;0,0208;
Rottal-Inn, Kreis;9277;BY;Ländlicher Raum;54,22;80,18;;2,52;3;;0,0252;
Altenkirchen (Westerwald), Kreis;7132;RP;Verdichtetes Umland;52,89;80,18;;;;;;
Traunstein, Kreis;9189;BY;Ländlicher Raum;52,8;80,18;;2,32;4;;0,0232;
Ostallgäu, Kreis;9777;BY;Ländlicher Raum;52,66;80,18;;1,47;2;;0,0147;
Garmisch-Partenkirchen, Kreis;9180;BY;Ländlicher Raum;52,55;80,18;;2,3;2;;0,023;
Rosenheim, Kreis;9187;BY;Ländlicher Raum;50,21;80,18;;4,78;12;;0,0478;
Bad Tölz-Wolfratshausen, Kreis;9173;BY;Ländlicher Raum;31,62;80,18;;1,63;2;;0,0163;
Chemnitz;14511;SN;Kernstädte;NA;NA;;;;;;
Erzgebirgskreis;14521;SN;Verdichtetes Umland;NA;NA;;;;;;
Mittelsachsen;14522;SN;Verdichtetes Umland;NA;NA;;;;;;
Vogtlandkreis;14523;SN;Verdichtetes Umland;NA;NA;;;;;;
Zwickau;14524;SN;Verdichtetes Umland;NA;NA;;;;;;
Dresden;14612;SN;Kernstädte;NA;NA;;;;;;
Bautzen;14625;SN;Ländlicher Raum;NA;NA;;;;;;
Görlitz;14626;SN;Ländlicher Raum;NA;NA;;;;;;
Meißen;14627;SN;Verdichtetes Umland;NA;NA;;;;;;
Sächsische Schweiz-Osterzgebirge;14628;SN;Verdichtetes Umland;NA;NA;;;;;;
Leipzig;14713;SN;Kernstädte;NA;NA;;;;;;
Lk.Leipzig;14729;SN;Verdichtetes Umland;NA;NA;;;;;;
Nordsachsen;14730;SN;Ländliches Umland;NA;NA;;;;;;
